Article Size,Article Name,Load Index,Speed Index,Article Price,Cube Value,Total Price
225/45 R17 91W,GOODYEAR EFFICIENTGRIP PERFORMANCE 2,91 (615 kg),W (max. 270 km/h),"84,93 €",A,"(339,72 €)"
225/45 R17 91Y,PIRELLI CINTURATO P7 (P7C2),91 (615 kg),Y (max. 300 km/h),"87,67 €",A,"(350,68 €)"
225/45 R17 91V,CONTINENTAL PREMIUM CONTACT 7,91 (615 kg),V (max. 240 km/h),"95,02 €",A,"(380,08 €)"
225/45 R17 94Y,NANKANG AS-2 PLUS,94 (670 kg),Y (max. 300 km/h),"81,59 €",A,"(326,36 €)"
225/45 R17 91W,KUMHO HS52 ECSTA,91 (615 kg),W (max. 270 km/h),"72,65 €",A,"(290,60 €)"
225/45 R17 91Y,UNIROYAL RAINSPORT 5,91 (615 kg),Y (max. 300 km/h),"79,50 €",A,"(318,00 €)"
225/45 R17 91W,HANKOOK K117B VENTUS S1 EVO2,91 (615 kg),W (max. 270 km/h),"99,69 €",A,"(398,76 €)"
225/45 R17 94Y,MAXXIS VICTRA SPORT 5,94 (670 kg),Y (max. 300 km/h),"71,84 €",A,"(287,36 €)"
225/45 R17 94Y,KUMHO PS71,94 (670 kg),Y (max. 300 km/h),"72,98 €",A,"(291,92 €)"
225/45 R17 94W,FIRESTONE ROADHAWK,94 (670 kg),W (max. 270 km/h),"79,67 €",A,"(318,68 €)"
225/45 R17 94Y,HANKOOK K127 VENTUS S1 EVO3,94 (670 kg),Y (max. 300 km/h),"86,96 €",A,"(347,84 €)"
225/45 R17 94Y,MICHELIN PILOT SPORT 5,94 (670 kg),Y (max. 300 km/h),"114,98 €",A,"(459,92 €)"
225/45 R17 91Y,DUNLOP SP SPORT MAXX RT V1,91 (615 kg),Y (max. 300 km/h),"90,18 €",A,"(360,72 €)"
225/45 R17 94W,FALKEN ZE-310 ZIEX ECORUN,94 (670 kg),W (max. 270 km/h),"80,07 €",A,"(320,28 €)"
225/45 R17 91W,MAXXIS HP-5 PREMITRA 5,91 (615 kg),W (max. 270 km/h),"67,46 €",A,"(269,84 €)"
225/45 R17 91V,HANKOOK K115 Ventus Prime2,91 (615 kg),V (max. 240 km/h),"86,07 €",A,"(344,28 €)"
225/45 R17 91V,MICHELIN PILOT SPORT 4,91 (615 kg),V (max. 240 km/h),"104,16 €",A,"(416,64 €)"
225/45 R17 94Y,NEXEN N`FERA PRIMUS (SU1 PLUS),94 (670 kg),Y (max. 300 km/h),"72,26 €",A,"(289,04 €)"
225/45 R17 91Y,DUNLOP SP SPORT MAXX RT 2,91 (615 kg),Y (max. 300 km/h),"88,02 €",A,"(352,08 €)"
225/45 R17 94Y,BRIDGESTONE POTENZA SPORT,94 (670 kg),Y (max. 300 km/h),"91,84 €",A,"(367,36 €)"
225/45 R17 94Y,YOKOHAMA ADVAN SPORT V105S,94 (670 kg),Y (max. 300 km/h),"78,72 €",A,"(314,88 €)"
225/45 R17 91W,UNIROYAL RAINSPORT 3,91 (615 kg),W (max. 270 km/h),"101,86 €",A,"(407,44 €)"
225/45 R17 91V,CONTINENTAL ECO CONTACT 6,91 (615 kg),V (max. 240 km/h),"106,25 €",B,"(425,00 €)"
225/45 R17 91W,DUNLOP SP SPORT MAXX RT,91 (615 kg),W (max. 270 km/h),"87,85 €",B,"(351,40 €)"
225/45 R17 94Y,SYRON PREMIUM PERFORMANCE G2,94 (670 kg),Y (max. 300 km/h),"62,21 €",B,"(248,84 €)"
225/45 R17 94Y,FULDA SPORTCONTROL 2,94 (670 kg),Y (max. 300 km/h),"79,97 €",B,"(319,88 €)"
225/45 R17 91Y,SAVA INTENSA UHP 2,91 (615 kg),Y (max. 300 km/h),"60,29 €",B,"(241,16 €)"
225/45 R17 94W,SUPERIA TIRES ECOBLUE UHP,94 (670 kg),W (max. 270 km/h),"57,84 €",B,"(231,36 €)"
225/45 R17 94W,MASSIMO OTTIMA PLUS,94 (670 kg),W (max. 270 km/h),"52,00 €",B,"(208,00 €)"
225/45 R17 91V,CONTINENTAL ECO CONTACT 5,91 (615 kg),V (max. 240 km/h),"104,71 €",B,"(418,84 €)"
225/45 R17 94Y,TRISTAR SPORTPOWER 2 (F205),94 (670 kg),Y (max. 300 km/h),"71,69 €",B,"(286,76 €)"
225/45 R17 91Y,PIRELLI CINTURATO P7,91 (615 kg),Y (max. 300 km/h),"90,97 €",B,"(363,88 €)"
225/45 R17 91W,CONTINENTAL SPORT CONTACT 5,91 (615 kg),W (max. 270 km/h),"96,70 €",B,"(386,80 €)"
225/45 R17 94Y,DEBICA PRESTO UHP 2,94 (670 kg),Y (max. 300 km/h),"72,98 €",B,"(291,92 €)"
225/45 R17 94Y,MINERVA F205,94 (670 kg),Y (max. 300 km/h),"59,74 €",B,"(238,96 €)"
225/45 R17 91W,GOODYEAR EAGLE F1 ASYMMETRIC 3,91 (615 kg),W (max. 270 km/h),"85,58 €",B,"(342,32 €)"
225/45 R17 94Y,SEMPERIT SPEED-LIFE 3,94 (670 kg),Y (max. 300 km/h),"93,21 €",B,"(372,84 €)"
225/45 R17 94Y,LAUFENN S-FIT EQ+ (LK01),94 (670 kg),Y (max. 300 km/h),"67,11 €",B,"(268,44 €)"
225/45 R17 94Y,MICHELIN PILOT SPORT PS2,94 (670 kg),Y (max. 300 km/h),"111,38 €",B,"(445,52 €)"
225/45 R17 94W,KUMHO HS51 ECSTA,94 (670 kg),W (max. 270 km/h),"75,35 €",B,"(301,40 €)"
225/45 R17 94Y,DUNLOP SP SPORT FASTRESPONSE,94 (670 kg),Y (max. 300 km/h),"91,22 €",B,"(364,88 €)"
225/45 R17 91Y,BARUM BRAVURIS 5 HM,91 (615 kg),Y (max. 300 km/h),"82,10 €",B,"(328,40 €)"
225/45 R17 91W,BRIDGESTONE POTENZA S001,91 (615 kg),W (max. 270 km/h),"115,70 €",B,"(462,80 €)"
225/45 R17 91Y,BRIDGESTONE Potenza RE 050 A,91 (615 kg),Y (max. 300 km/h),"124,32 €",B,"(497,28 €)"
225/45 R17 91V,BRIDGESTONE TURANZA T001,91 (615 kg),V (max. 240 km/h),"103,32 €",B,"(413,28 €)"
225/45 R17 91W,YOKOHAMA ADVAN SPORT V105,91 (615 kg),W (max. 270 km/h),"90,37 €",B,"(361,48 €)"
225/45 R17 91W,PIRELLI P7,91 (615 kg),W (max. 270 km/h),"82,42 €",B,"(329,68 €)"
225/45 R17 94Y,FORTUNE FSR701,94 (670 kg),Y (max. 300 km/h),"58,89 €",C,"(235,56 €)"
225/45 R17 91W,DUNLOP SP SPORT MAXX TT,91 (615 kg),W (max. 270 km/h),"108,47 €",C,"(433,88 €)"
225/45 R17 91W,BRIDGESTONE Turanza ER 33,91 (615 kg),W (max. 270 km/h),"127,45 €",C,"(509,80 €)"
225/45 R17 91W,GOODYEAR EXCELLENCE,91 (615 kg),W (max. 270 km/h),"92,82 €",C,"(371,28 €)"
225/45 R17 91V,YOKOHAMA C DRIVE 2 AC02,91 (615 kg),V (max. 240 km/h),"99,65 €",C,"(398,60 €)"
225/45 R17 91W,BRIDGESTONE Turanza ER 300,91 (615 kg),W (max. 270 km/h),"108,29 €",C,"(433,16 €)"
225/45 R17 94W,BERLIN TIRES SUMMER HP 1,94 (670 kg),W (max. 270 km/h),"55,59 €",C,"(222,36 €)"
225/45 R17 94Y,SPORTIVA PERFORMANCE,94 (670 kg),Y (max. 300 km/h),"64,64 €",C,"(258,56 €)"
225/45 R17 94W,EP-TYRES ACCELERA PHI,94 (670 kg),W (max. 270 km/h),"52,95 €",C,"(211,80 €)"
225/45 R17 91W,KHEFREN K11,91 (615 kg),W (max. 270 km/h),"59,73 €",--,"(238,92 €)"
